Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Nebraska,2020,39,2020-09-26,378,342,,67,10,23,,19,,,,72,17,26,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,40,2020-10-03,373,345,,59,13,19,,15,,,,60,19,41,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,41,2020-10-10,406,367,,65,17,14,,22,,,,73,18,52,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,42,2020-10-17,401,374,,76,13,20,,15,,,,65,15,51,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,43,2020-10-24,425,408,,79,10,28,,21,,,,60,22,75,64,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,44,2020-10-31,442,412,,57,16,18,,20,,,,73,19,80,69,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,45,2020-11-07,498,473,,62,17,21,,17,,,10,84,14,133,114,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nebraska,2020,46,2020-11-14,551,514,,61,13,21,,30,,,,67,25,181,168,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,47,2020-11-21,574,549,,85,12,22,,20,,,,78,24,200,181,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,48,2020-11-28,565,550,,73,15,14,,17,,,,73,24,230,203,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,49,2020-12-05,514,495,,72,16,15,,22,,,,62,14,201,177,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,50,2020-12-12,501,476,,65,14,22,,17,,,,79,19,164,144,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,51,2020-12-19,460,434,,65,13,17,,19,,,,80,16,121,115,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,52,2020-12-26,426,402,,70,15,19,,13,,,,69,25,117,98,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2020,53,2021-01-02,434,408,,73,14,16,,32,,,,65,16,99,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,1,2021-01-09,446,415,,68,15,18,,18,,,,87,19,96,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,2,2021-01-16,390,370,,55,,20,,28,,,,65,12,84,69,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,3,2021-01-23,407,383,,83,10,17,,18,,,,72,12,73,60,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,4,2021-01-30,378,349,,60,11,23,,17,,,,54,22,58,53,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,5,2021-02-06,364,334,,63,11,16,,12,,,,77,13,43,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,6,2021-02-13,340,311,,54,,13,,16,,,,69,17,32,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,7,2021-02-20,328,307,,50,12,13,,17,,,,69,17,33,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,8,2021-02-27,318,303,,61,14,10,,19,,,,66,18,17,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,9,2021-03-06,354,332,,66,,18,,15,,,,79,22,24,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,10,2021-03-13,318,301,,67,12,,,14,,,,66,27,20,12,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,11,2021-03-20,328,306,,65,11,12,,16,,,10,68,11,15,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nebraska,2021,12,2021-03-27,330,308,,63,15,14,,16,,,,68,11,15,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nebraska,2021,13,2021-04-03,328,301,,58,12,,,19,,,,66,24,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Nebraska,2021,14,2021-04-10,319,309,,79,13,,,21,,,,59,16,12,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
Nebraska,2021,15,2021-04-17,357,339,,69,15,14,,19,,,14,77,18,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nebraska,2021,16,2021-04-24,323,309,,68,,17,,13,,,14,71,20,16,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Nebraska,2021,17,2021-05-01,365,343,,69,10,11,,15,,,13,86,21,21,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nebraska,2021,18,2021-05-08,332,313,,74,12,14,,15,,,10,66,11,16,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Nebraska,2021,19,2021-05-15,358,343,,81,,12,,23,,,16,67,23,19,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nebraska,2021,20,2021-05-22,290,283,,66,12,,,19,,,13,59,12,14,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Nebraska,2021,21,2021-05-29,261,253,,69,12,11,0,14,,,,49,13,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Nebraska,2021,22,2021-06-05,176,175,,31,,11,,12,,,10,49,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Nevada,2020,1,2020-01-04,521,465,,98,13,18,16,32,,,,156,19,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,2,2020-01-11,556,504,,104,19,21,12,41,,,,141,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,3,2020-01-18,605,555,,112,22,12,14,53,,12,,167,39,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,4,2020-01-25,577,526,,108,15,17,13,25,,,,154,36,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,5,2020-02-01,532,483,,95,,15,16,35,,,,150,34,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,6,2020-02-08,579,520,,108,25,13,17,49,,,,158,36,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,7,2020-02-15,530,484,,76,22,18,15,43,,,,151,36,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,8,2020-02-22,546,503,,113,22,14,,50,,,,135,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,9,2020-02-29,544,500,,99,21,19,11,44,,,,141,34,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,10,2020-03-07,535,489,,114,22,23,,37,,,,124,30,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,11,2020-03-14,515,475,,82,27,15,19,43,,,,146,32,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,12,2020-03-21,508,468,,100,20,16,19,37,14,,,145,27,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Nevada,2020,13,2020-03-28,543,490,,101,19,21,17,40,,,,130,26,19,19,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,14,2020-04-04,593,543,,99,20,20,14,36,,16,,158,26,43,41,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,15,2020-04-11,588,543,,99,14,24,,31,,,,150,29,55,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,16,2020-04-18,546,509,,95,27,16,,30,,,,146,37,43,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,17,2020-04-25,565,510,,95,21,26,,28,,,,128,18,62,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,18,2020-05-02,547,483,,104,16,11,11,24,,,,133,17,48,44,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,19,2020-05-09,544,481,,87,15,22,,31,,13,,130,29,51,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,20,2020-05-16,514,461,,105,17,19,,23,,,,130,34,34,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,21,2020-05-23,536,495,,103,20,14,,24,,,,141,27,36,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,22,2020-05-30,543,485,,105,13,22,11,26,,0,,127,37,29,28,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,23,2020-06-06,562,497,,120,10,17,,22,,,10,144,25,21,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2020,24,2020-06-13,543,494,,111,17,21,,34,,,,118,29,17,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,25,2020-06-20,519,466,,115,12,15,,25,,,,125,25,20,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,26,2020-06-27,557,497,,96,10,16,,20,,,,161,35,23,23,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,27,2020-07-04,528,478,,104,,13,10,28,,,,125,20,43,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,28,2020-07-11,633,562,,109,14,16,10,35,,,,144,36,67,64,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,29,2020-07-18,640,553,,112,13,12,,32,,,,164,22,87,84,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,30,2020-07-25,657,594,,111,15,14,12,21,,,,177,23,94,86,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,31,2020-08-01,620,557,,101,21,18,13,35,0,,,144,25,108,101,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,32,2020-08-08,694,634,,112,25,27,,29,,,10,143,39,131,127,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2020,33,2020-08-15,662,592,,106,18,27,,33,,,,151,26,116,107,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,34,2020-08-22,648,569,,110,15,13,,32,,,,148,21,101,97,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,35,2020-08-29,633,561,,100,15,14,,38,,,,160,23,80,71,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,36,2020-09-05,640,572,,114,17,30,10,20,,,,138,26,77,70,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,37,2020-09-12,559,509,,98,21,16,10,24,0,,,116,30,62,55,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,38,2020-09-19,537,499,,110,22,15,,33,,,,115,19,51,45,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,39,2020-09-26,528,484,,100,17,16,,32,,,,121,30,41,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,40,2020-10-03,564,509,,123,,20,11,25,,,,121,36,37,32,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,41,2020-10-10,558,489,,114,18,21,10,26,,,,116,28,42,38,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,42,2020-10-17,526,476,,96,18,12,,26,,,,134,41,32,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,43,2020-10-24,541,492,,90,17,24,,39,0,,,156,27,37,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,44,2020-10-31,604,534,,111,21,14,,29,,10,,142,23,53,47,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,45,2020-11-07,555,486,,102,17,10,,28,,,,131,24,63,59,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,46,2020-11-14,631,563,,96,17,16,,30,,,,138,33,85,80,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,47,2020-11-21,663,617,,99,16,23,,30,,,,130,31,138,134,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,48,2020-11-28,744,683,,110,20,18,,35,,,,148,29,181,170,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2020,49,2020-12-05,773,703,,107,26,11,11,36,,10,12,153,23,214,203,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Nevada,2020,50,2020-12-12,908,836,,120,20,24,,35,,,13,172,32,287,264,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2020,51,2020-12-19,845,782,,99,21,17,,31,,,14,170,34,281,268,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2020,52,2020-12-26,867,819,,103,19,18,13,31,,10,,165,44,295,280,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Nevada,2020,53,2021-01-02,855,810,,89,22,17,10,35,,,10,184,33,288,275,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,1,2021-01-09,885,813,,111,24,18,,37,,,10,168,36,294,276,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,2,2021-01-16,844,789,,110,23,18,11,21,,,11,130,31,300,286,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,3,2021-01-23,823,775,,107,25,17,13,35,,,13,149,37,255,239,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,4,2021-01-30,782,716,,95,18,19,11,30,,,,165,28,224,207,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2021,5,2021-02-06,719,666,,87,20,15,,30,,,,140,29,210,202,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2021,6,2021-02-13,701,637,,98,17,13,10,22,,,14,132,25,175,157,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,7,2021-02-20,635,576,,105,17,22,12,35,,,,129,24,113,101,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2021,8,2021-02-27,665,600,,114,22,11,13,32,,,,136,38,80,73,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2021,9,2021-03-06,556,504,,85,20,14,15,26,,,,146,23,58,55,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Nevada,2021,10,2021-03-13,603,542,,106,16,17,10,25,,,10,155,39,52,47,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,11,2021-03-20,593,541,,111,26,17,,24,,,17,132,27,53,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,12,2021-03-27,548,494,,89,24,10,,23,,,16,154,23,39,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,13,2021-04-03,573,528,0,115,22,10,11,30,,,24,127,27,39,36,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,14,2021-04-10,539,489,,99,22,14,,26,,,28,108,25,37,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,15,2021-04-17,530,480,,101,16,17,,26,,12,23,134,23,30,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Nevada,2021,16,2021-04-24,567,525,,114,18,,,25,,,36,127,41,31,28,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,17,2021-05-01,540,497,,92,,10,,29,,,47,108,25,43,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,18,2021-05-08,565,533,,105,17,15,12,27,,,60,110,36,32,29,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,19,2021-05-15,530,502,,90,15,19,,25,,,63,119,26,28,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,20,2021-05-22,465,440,,87,18,13,11,22,,,38,92,24,24,23,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Nevada,2021,21,2021-05-29,413,394,,78,,10,,17,,,44,110,18,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Nevada,2021,22,2021-06-05,361,350,,67,,15,,20,,,41,79,17,21,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,1,2020-01-04,260,239,,51,,12,,16,,,,58,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,2,2020-01-11,263,238,,47,,13,,16,,,,71,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,3,2020-01-18,245,230,,65,,10,,16,,,,59,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,4,2020-01-25,241,224,,54,,14,,16,,,,55,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,5,2020-02-01,240,227,,51,,,,15,,,,54,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,6,2020-02-08,256,230,,56,10,,,22,,,,54,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,7,2020-02-15,236,216,,52,,,,20,,,,53,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
